IDs heights BMIs ages sex sleep
1 1 150.004789479061 22.6246756331803 40 0 6.10926854141545
2 2 164.288534389651 29.5905133435495 10 0 4.99864771790434
3 3 172.146238986936 26.373988537898 39 1 6.97892651098612
4 4 172.857630906706 24.9240913931541 11 0 7.99694498669382
5 5 174.97076692742 29.1272495106693 16 0 10.9332170410539
6 6 166.789003580433 27.1372075518709 19 0 5.26645669390087
7 7 170.191825386158 27.6719378370112 23 1 1.7339810380895
8 8 175.767023981347 25.8862278979527 29 0 4.98306501233102
9 9 156.534879511616 25.7178671529231 21 0 6.48287517190854
10 10 182.952251574525 30.5958827078285 17 1 11.3081472560835
11 11 163.629951637535 25.6527159933254 33 1 9.76806808743159
12 12 157.849628228881 28.228135175963 29 1 8.95826338174165
13 13 153.544750075524 27.0830327481793 9 0 3.36152663168014
14 14 146.387725996936 25.8107545433779 23 1 7.1894074690562
15 15 178.549420740121 27.4599160106459 7 1 10.0137817362843
16 16 166.109541492198 30.0642763635622 21 0 8.44866591963927
17 17 151.264259591889 24.8841408095666 17 0 8.59462981494355
18 18 172.289497596933 26.3580012934126 16 0 9.02266210027004
19 19 150.24726836931 25.7381153841365 23 0 6.22093460628963
20 20 172.976059511145 27.6652050533644 10 0 1.86064818958604
21 21 171.607597684215 28.4982369581497 29 1 7.27758248637048
22 22 174.214735955007 24.8201979744198 39 1 5.13139363184976
23 23 174.743820242917 28.8651450156195 23 0 4.62445426283784
24 24 152.50229486595 26.9765692014867 8 0 9.11631617981866
25 25 162.968071614845 23.5579615068801 17 0 8.95102330387583
26 26 179.042943118597 28.3430181351046 26 0 8.54626450379165
27 27 155.814684512258 26.1896690349484 31 0 6.68387774372649
28 28 157.691234211671 29.3082321077878 29 0 9.23135527981287
29 29 165.741715197626 30.2195156153385 24 1 5.97173758934786
30 30 156.596252803827 28.3270746735004 18 1 7.49192460710379
31 31 145.25234812253 25.003266901676 29 0 6.48832145439258
32 32 135.784239149823 25.049420103614 22 1 7.17169757544287
33 33 162.133266986778 26.2216279588208 26 1 4.96336891770801
34 34 148.50801927136 28.2058938005534 47 1 5.86584139315473
35 35 172.088135566971 27.906340682986 20 0 8.24354399230068
